Id,PID,MS Zoning,Lot Frontage,Lot Area,Lot Shape,Land Slope,House Style,Overall Qual,Overall Cond,Year Built,Year Remod/Add,Exterior 2nd,Mas Vnr Area,Exter Qual,Exter Cond,Foundation,Bsmt Qual,Bsmt Cond,Bsmt Exposure,BsmtFin Type 1,BsmtFin Type 2,Bsmt Unf SF,Total Bsmt SF,Heating QC,Electrical,1st Flr SF,2nd Flr SF,Gr Liv Area,Bsmt Full Bath,Bsmt Half Bath,Full Bath,Half Bath,Bedroom AbvGr,Kitchen AbvGr,Kitchen Qual,Functional,Fireplaces,Fireplace Qu,Garage Yr Blt,Garage Finish,Garage Cars,Garage Area,Garage Qual,Garage Cond,Paved Drive,Wood Deck SF,Open Porch SF,Enclosed Porch,Screen Porch,Fence,SalePrice,MSsubclass_30,MSsubclass_40,MSsubclass_45,MSsubclass_50,MSsubclass_60,MSsubclass_70,MSsubclass_75,MSsubclass_80,MSsubclass_85,MSsubclass_90,MSsubclass_120,MSsubclass_150,MSsubclass_160,MSsubclass_180,MSsubclass_190,Street_Pave,LandContour_HLS,LandContour_Low,LandContour_Lvl,LotConf_CulDSac,LotConf_FR2,LotConf_FR3,LotConf_Inside,ngbhd_Blueste,ngbhd_BrDale,ngbhd_BrkSide,ngbhd_ClearCr,ngbhd_CollgCr,ngbhd_Crawfor,ngbhd_Edwards,ngbhd_Gilbert,ngbhd_Greens,ngbhd_GrnHill,ngbhd_IDOTRR,ngbhd_Landmrk,ngbhd_MeadowV,ngbhd_Mitchel,ngbhd_NAmes,ngbhd_NPkVill,ngbhd_NWAmes,ngbhd_NoRidge,ngbhd_NridgHt,ngbhd_OldTown,ngbhd_SWISU,ngbhd_Sawyer,ngbhd_SawyerW,ngbhd_Somerst,ngbhd_StoneBr,ngbhd_Timber,ngbhd_Veenker,cond1_Feedr,cond1_Norm,cond1_PosA,cond1_PosN,cond1_RRAe,cond1_RRAn,cond1_RRNe,cond1_RRNn,cond2_Feedr,cond2_Norm,cond2_PosA,cond2_PosN,cond2_RRAe,cond2_RRAn,cond2_RRNn,bldgtype_2fmCon,bldgtype_Duplex,bldgtype_Twnhs,bldgtype_TwnhsE,roofstyle_Gable,roofstyle_Gambrel,roofstyle_Hip,roofstyle_Mansard,roofstyle_Shed,roofmatl_CompShg,roofmatl_Membran,roofmatl_Tar&Grv,roofmatl_WdShake,roofmatl_WdShngl,Ext1st_AsphShn,Ext1st_BrkComm,Ext1st_BrkFace,Ext1st_CBlock,Ext1st_CemntBd,Ext1st_HdBoard,Ext1st_ImStucc,Ext1st_MetalSd,Ext1st_Plywood,Ext1st_Stone,Ext1st_Stucco,Ext1st_VinylSd,Ext1st_Wd Sdng,Ext1st_WdShing,MasVType_BrkFace,MasVType_None,MasVType_Stone,Heating_GasW,Heating_Grav,Heating_OthW,Heating_Wall,CentralAir_1,GargType_Attchd,GargType_Basment,GargType_BuiltIn,GargType_CarPort,GargType_Detchd,GargType_NA,Month_2,Month_3,Month_4,Month_5,Month_6,Month_7,Month_8,Month_9,Month_10,Month_11,Month_12,Year_2007,Year_2008,Year_2009,Year_2010,SaleType_CWD,SaleType_Con,SaleType_ConLD,SaleType_ConLI,SaleType_ConLw,SaleType_New,SaleType_Oth,SaleType_WD 
109,533352170,RL,69.0,13517,3,3,2Story,6,8,1976,2005,Plywood,289.0,3,3,CBlock,3,3,1,6,1,192.0,725.0,5,5,725,754,1479,0.0,0.0,2,1,3,1,3,8,0,0,1976.0,3,2.0,475.0,3,3,2,0,44,0,0,0,130500,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
544,531379050,RL,43.0,11492,3,3,2Story,7,5,1996,1997,VinylSd,132.0,3,3,PConc,4,3,1,6,1,276.0,913.0,5,5,913,1209,2122,1.0,0.0,2,1,4,1,3,8,1,3,1997.0,3,2.0,559.0,3,3,2,0,74,0,0,0,220000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
153,535304180,RL,68.0,7922,4,3,1Story,5,7,1953,2007,VinylSd,0.0,2,4,CBlock,3,3,1,6,1,326.0,1057.0,3,5,1057,0,1057,1.0,0.0,1,0,3,1,3,8,0,0,1953.0,1,1.0,246.0,3,3,2,0,52,0,0,0,109000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
318,916386060,RL,73.0,9802,4,3,2Story,5,5,2006,2007,VinylSd,0.0,2,3,PConc,4,3,1,1,1,384.0,384.0,4,5,744,700,1444,0.0,0.0,2,1,3,1,2,8,0,0,2007.0,2,2.0,400.0,3,3,2,100,0,0,0,0,174000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
255,906425045,RL,82.0,14235,3,3,1.5Fin,6,8,1900,1993,Plywood,0.0,2,3,PConc,2,4,1,1,1,676.0,676.0,3,5,831,614,1445,0.0,0.0,2,0,3,1,2,8,0,0,1957.0,1,2.0,484.0,3,3,0,0,59,0,0,0,138500,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
138,535126040,RL,137.0,16492,3,3,1Story,6,6,1966,2002,Plywood,0.0,3,3,CBlock,3,3,1,5,3,557.0,1517.0,5,5,1888,0,1888,0.0,0.0,2,1,2,1,3,5,1,4,1966.0,2,2.0,578.0,3,3,2,0,0,0,0,0,190000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
2827,908186070,RM,35.0,3675,4,3,SFoyer,6,5,2005,2006,VinylSd,82.0,2,3,PConc,4,3,4,6,1,0.0,547.0,4,5,1072,0,1072,1.0,0.0,2,0,2,1,2,8,0,0,2005.0,2,2.0,525.0,3,3,2,0,44,0,0,0,140000,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
145,535154050,RL,69.0,12160,3,3,1Story,5,5,1959,1959,Plywood,180.0,2,3,CBlock,3,3,1,3,1,188.0,1188.0,2,5,1188,0,1188,1.0,0.0,1,0,3,1,2,8,0,0,1959.0,3,2.0,531.0,3,3,2,0,0,0,0,3,142000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1942,535353130,RL,69.0,15783,4,3,1Story,5,5,1952,1952,Wd Sdng,0.0,2,3,CBlock,3,3,1,3,1,632.0,924.0,3,5,924,0,924,0.0,0.0,1,0,2,1,2,8,0,0,1952.0,1,1.0,420.0,3,3,2,0,324,0,0,3,112500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1956,535426130,RL,70.0,11606,3,1,2Story,5,5,1969,1969,Plywood,192.0,2,3,PConc,4,3,3,3,1,390.0,1040.0,3,5,1040,1040,2080,0.0,1.0,1,2,5,1,1,8,2,3,1969.0,1,2.0,504.0,3,3,2,335,0,0,0,0,135000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
